Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Ola Aina,ngNGA,DF,Nott'ham Forest,28-178,1996,30,30,"2,569",28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-110,1996,10,2,299,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,21,7,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
Oliver Scarles,engENG,DF,West Ham,19-113,2005,11,4,482,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,18,36,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Oliver Skipp,engENG,MF,Leicester City,24-200,2000,17,7,824,9.2,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,14,23,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
Ollie Watkins,engENG,FW,Aston Villa,29-095,1995,30,25,"2,081",23.1,13,6,19,11,2,2,1,0,13.9,12.3,2.7,14.9,46,22,129,0.56,0.26,0.82,0.48,0.74,0.60,0.11,0.71,0.53,0.65,Matches
Omar Marmoush,egEGY,"MF,FW",Manchester City,26-056,1999,8,7,565,6.3,5,0,5,5,0,0,0,0,2.6,2.6,1.0,3.6,12,17,40,0.80,0.00,0.80,0.80,0.80,0.41,0.16,0.57,0.41,0.57,Matches
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-156,2003,27,26,"2,223",24.7,3,2,5,3,0,0,5,0,2.3,2.3,2.5,4.8,71,69,131,0.12,0.08,0.20,0.12,0.20,0.09,0.10,0.19,0.09,0.19,Matches
Orel Mangala,beBEL,MF,Everton,27-017,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-328,1992,16,6,584,6.5,1,1,2,1,0,0,2,0,2.5,2.5,0.7,3.2,11,46,45,0.15,0.15,0.31,0.15,0.31,0.39,0.11,0.50,0.39,0.50,Matches
Pape Matar Sarr,snSEN,MF,Tottenham,22-202,2002,28,16,"1,423",15.8,3,2,5,3,0,0,6,0,3.1,3.1,1.5,4.7,27,73,41,0.19,0.13,0.32,0.19,0.32,0.20,0.10,0.30,0.20,0.30,Matches
