Player,Team,Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,GCA_SCA,GCA_SCA90,GCA_GCA,GCA_GCA90,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Att,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Played Time,Estimated Value
Mario Lemina,,31.65,17,15,1364.0,1,3,4,0,1.4,1.1,8,48,21,0.07,0.2,0.09,0.07,1.395,68.75,25.45,0.0,27.8,0.33,0.06,21.9,493,80.4,9479,85.0,87.7,61.1,10,43,13,4,48,26,1.71,5,0.33,51,31,29,9,12,7,5,27,809,92,324,378,119,18,16,62.5,25.0,382,1038,8,12,2,21,11,482,21,17,8,4,10,73,25,16,61.0,1364.0,5200000.0
Mark Flekken,,31.87,32,32,2825.0,0,1,1,0,0.0,0.2,0,0,0,0.0,0.03,0.0,0.01,1.53,73.3,15.6,0.0,30.4,0.0,0.08,16.2,1113,73.3,32882,97.8,97.4,50.1,2,44,2,0,0,7,0.22,1,0.03,4,4,9,6,2,0,2,0,1616,1261,1569,52,0,0,1,100.0,0.0,987,2803,0,0,0,3,0,905,0,0,3,0,0,35,4,0,100.0,2825.0,13900000.0
Martin Ødegaard,,26.36,26,23,2040.0,2,6,4,0,4.4,4.6,79,231,142,0.09,0.26,0.2,0.2,1.395,68.75,25.45,0.0,31.7,0.57,0.02,18.7,1099,82.6,17070,90.3,87.1,53.0,56,115,78,5,231,112,4.95,13,0.57,19,11,24,20,4,0,4,4,1494,6,98,625,785,104,54,40.7,55.6,1031,3279,79,72,23,28,38,1188,142,10,20,1,80,86,8,7,53.3,2040.0,125800000.0
Mateo Kovačić,,30.98,28,22,1960.0,6,1,5,0,1.7,3.5,51,142,15,0.28,0.05,0.08,0.16,1.395,68.75,25.45,0.0,31.6,0.55,0.16,22.2,1523,92.5,23541,95.0,95.6,62.5,28,178,27,0,142,59,2.71,6,0.28,61,36,59,32,19,0,19,20,1859,48,274,1063,543,16,38,52.6,28.9,1259,3432,51,71,3,16,29,1506,15,22,22,0,0,109,9,7,56.3,1960.0,25300000.0
Mateus Fernandes,,20.8,32,30,2584.0,2,3,8,0,3.7,2.6,72,130,99,0.07,0.1,0.13,0.09,1.395,68.75,25.45,0.0,36.8,0.49,0.05,18.6,977,79.7,16522,87.9,85.4,54.9,30,89,21,4,130,68,2.37,6,0.21,81,43,61,31,39,5,34,21,1577,57,336,774,503,45,96,44.8,45.8,814,2926,72,65,8,50,33,976,99,40,52,3,102,162,13,9,59.1,2584.0,22500000.0
Matheus Cunha,,25.92,29,26,2341.0,15,6,3,0,7.9,7.3,103,129,144,0.58,0.23,0.3,0.28,1.395,68.75,25.45,0.0,42.1,1.54,0.16,20.6,727,72.0,11575,85.3,75.8,45.6,51,88,54,10,129,117,4.5,16,0.62,35,21,35,24,19,1,18,16,1393,22,171,643,627,113,126,45.2,43.7,800,3062,103,88,35,70,47,939,144,39,69,8,120,120,10,27,27.0,2341.0,62600000.0
Matheus Nunes,,26.67,23,16,1404.0,1,5,4,0,0.9,4.2,56,66,151,0.06,0.32,0.06,0.27,1.395,68.75,25.45,0.0,42.9,0.19,0.14,18.3,885,86.5,13810,91.4,88.7,66.2,21,43,25,7,66,39,2.5,6,0.38,28,18,31,18,14,3,11,12,1166,35,207,442,522,53,33,45.5,39.4,717,1991,56,26,22,27,11,842,151,28,14,6,37,57,13,15,46.4,1404.0,42300000.0
Matt Doherty,,33.28,27,22,1901.0,2,1,6,0,1.0,1.5,29,75,39,0.09,0.05,0.05,0.07,1.395,68.75,25.45,0.0,30.0,0.14,0.2,11.4,974,82.6,18234,90.1,86.7,62.4,11,87,14,1,75,24,1.14,3,0.14,36,20,22,7,26,15,11,21,1394,115,542,690,179,25,20,55.0,30.0,730,2034,29,19,4,11,5,883,39,18,11,2,18,98,48,19,71.6,1901.0,4000000.0
Matthijs de Ligt,,25.71,28,24,2089.0,2,0,3,0,2.5,0.3,7,55,6,0.09,0.0,0.11,0.01,1.395,68.75,25.45,0.0,50.0,0.39,0.11,7.9,1225,90.1,21549,94.1,94.5,50.5,6,63,2,1,55,14,0.6,1,0.04,30,22,32,9,29,21,8,33,1584,181,813,722,56,29,4,50.0,50.0,1063,2219,7,3,0,5,3,1142,6,16,12,2,6,66,57,29,66.3,2089.0,50800000.0
Matty Cash,,27.72,23,20,1710.0,1,1,6,0,0.3,1.1,44,38,70,0.05,0.05,0.02,0.06,1.395,68.75,25.45,0.0,40.0,0.21,0.1,19.0,607,78.6,10099,89.7,79.8,49.4,10,36,8,4,38,22,1.16,2,0.11,46,26,33,10,17,6,11,21,963,70,350,382,242,37,32,46.9,43.8,479,1576,44,33,4,17,6,547,70,24,15,1,30,61,17,19,47.2,1710.0,32799999.999999996
